Ticker,Date,Open,High,Low,Close,Volume
QAN,20140620,1.33,1.355,1.33,1.34,9584021
QAN,20140623,1.35,1.35,1.325,1.335,6278065
QAN,20140624,1.315,1.325,1.305,1.31,3974334
QAN,20140625,1.3,1.33,1.29,1.325,10880043
QAN,20140626,1.31,1.335,1.31,1.33,4408904
QAN,20140627,1.33,1.34,1.325,1.335,6151547
QAN,20140630,1.33,1.335,1.26,1.26,10025064
QAN,20140701,1.255,1.277,1.232,1.26,7681470
QAN,20140702,1.25,1.26,1.24,1.25,7754880
QAN,20140703,1.25,1.26,1.24,1.25,8011769
QAN,20140704,1.27,1.29,1.26,1.27,5705455
QAN,20140707,1.26,1.275,1.255,1.26,5403698
QAN,20140708,1.25,1.275,1.235,1.26,6136972
QAN,20140709,1.245,1.245,1.215,1.215,6677702
QAN,20140710,1.21,1.22,1.197,1.205,7617806
QAN,20140711,1.2,1.3,1.2,1.285,18222172
QAN,20140714,1.285,1.31,1.25,1.27,7917344
QAN,20140715,1.285,1.29,1.25,1.265,9028606
QAN,20140716,1.25,1.26,1.235,1.245,6051869
QAN,20140717,1.25,1.27,1.24,1.24,7279247
QAN,20140718,1.22,1.255,1.215,1.25,7339214
QAN,20140721,1.25,1.265,1.235,1.24,4176918
QAN,20140722,1.235,1.25,1.23,1.25,6573490
QAN,20140723,1.265,1.29,1.255,1.27,9771938
QAN,20140724,1.28,1.29,1.265,1.285,7487775
QAN,20140725,1.285,1.31,1.28,1.31,10487076
QAN,20140728,1.3,1.33,1.3,1.315,7265839
QAN,20140729,1.315,1.325,1.305,1.315,5193479
QAN,20140730,1.325,1.345,1.32,1.335,4836061
QAN,20140731,1.335,1.342,1.315,1.335,3200684
QAN,20140801,1.315,1.32,1.295,1.295,4509741
QAN,20140804,1.295,1.32,1.29,1.31,1887611
QAN,20140805,1.305,1.315,1.267,1.275,5239736
QAN,20140806,1.285,1.302,1.27,1.295,11759459
QAN,20140807,1.29,1.32,1.29,1.305,21162250
QAN,20140808,1.3,1.327,1.285,1.31,12935506
QAN,20140811,1.31,1.335,1.31,1.31,6013880
QAN,20140812,1.32,1.325,1.295,1.32,6784659
QAN,20140813,1.32,1.325,1.29,1.29,6041694
QAN,20140814,1.29,1.3,1.29,1.29,4385553
QAN,20140815,1.295,1.3,1.277,1.28,4264423
QAN,20140818,1.285,1.297,1.28,1.285,2164286
QAN,20140819,1.3,1.33,1.3,1.33,8274701
QAN,20140820,1.32,1.325,1.3,1.32,4145817
QAN,20140821,1.34,1.342,1.315,1.32,5132687
QAN,20140822,1.32,1.325,1.275,1.3,7195524
QAN,20140825,1.295,1.317,1.295,1.3,4826126
QAN,20140826,1.3,1.305,1.287,1.305,5179810
QAN,20140827,1.31,1.312,1.285,1.295,5862498
QAN,20140828,1.34,1.41,1.34,1.385,32255500
QAN,20140829,1.405,1.477,1.405,1.47,28589041
QAN,20140901,1.475,1.5,1.435,1.45,10210537
QAN,20140902,1.45,1.54,1.44,1.525,19940420
QAN,20140903,1.535,1.597,1.525,1.56,23258274
QAN,20140904,1.565,1.57,1.53,1.565,15453148
QAN,20140905,1.56,1.567,1.53,1.54,7982903
QAN,20140908,1.54,1.555,1.537,1.54,3835425
QAN,20140909,1.55,1.57,1.545,1.565,7374973
QAN,20140910,1.55,1.575,1.537,1.575,11638724
QAN,20140911,1.575,1.605,1.567,1.585,9194081
QAN,20140912,1.565,1.58,1.557,1.57,5625999
QAN,20140915,1.55,1.55,1.46,1.48,20181847
QAN,20140916,1.495,1.535,1.49,1.515,18740469
QAN,20140917,1.515,1.522,1.477,1.485,8435049
QAN,20140918,1.48,1.485,1.455,1.475,12463827
QAN,20140919,1.48,1.485,1.44,1.45,53651772
QAN,20140922,1.435,1.465,1.43,1.435,8304310
QAN,20140923,1.42,1.455,1.41,1.45,6765672
QAN,20140924,1.435,1.455,1.415,1.42,10240719
QAN,20140925,1.435,1.445,1.42,1.44,9916669
QAN,20140926,1.425,1.44,1.42,1.43,7451676
QAN,20140929,1.425,1.43,1.4,1.42,7126341
QAN,20140930,1.43,1.43,1.385,1.39,6074846
QAN,20141001,1.38,1.435,1.372,1.435,6780072
QAN,20141002,1.39,1.427,1.39,1.425,4342708
QAN,20141003,1.405,1.42,1.385,1.41,4375838
QAN,20141006,1.405,1.425,1.4,1.415,2778918
QAN,20141007,1.415,1.415,1.387,1.405,9621566
QAN,20141008,1.375,1.39,1.375,1.375,9774906
QAN,20141009,1.385,1.4,1.38,1.395,12847482
QAN,20141010,1.355,1.375,1.335,1.35,23861224
QAN,20141013,1.32,1.327,1.285,1.3,11805398
QAN,20141014,1.27,1.3,1.25,1.285,37391771
QAN,20141015,1.285,1.34,1.28,1.335,11806020
QAN,20141016,1.305,1.325,1.287,1.32,10527834
QAN,20141017,1.315,1.355,1.315,1.33,10466721
QAN,20141020,1.335,1.35,1.315,1.34,7969418
QAN,20141021,1.34,1.37,1.335,1.36,14100118
QAN,20141022,1.38,1.402,1.37,1.385,17995130
QAN,20141023,1.375,1.415,1.37,1.375,8522903
QAN,20141024,1.4,1.435,1.39,1.425,33474102
QAN,20141027,1.465,1.505,1.465,1.5,28943486
QAN,20141028,1.52,1.615,1.517,1.61,29046625
QAN,20141029,1.615,1.66,1.605,1.64,24808827
QAN,20141030,1.65,1.665,1.63,1.645,13528075
QAN,20141031,1.65,1.7,1.645,1.68,18772273
QAN,20141103,1.685,1.715,1.635,1.64,17624842
QAN,20141104,1.665,1.68,1.65,1.68,8707773
QAN,20141105,1.685,1.725,1.67,1.715,15862018
QAN,20141106,1.715,1.715,1.645,1.655,14593456
QAN,20141107,1.64,1.69,1.62,1.685,17106284
QAN,20141110,1.725,1.74,1.71,1.72,17853257
QAN,20141111,1.73,1.76,1.715,1.76,16592675
QAN,20141112,1.76,1.765,1.725,1.74,9948238
QAN,20141113,1.74,1.795,1.737,1.785,12569306
QAN,20141114,1.78,1.81,1.76,1.79,11457856
QAN,20141117,1.8,1.825,1.795,1.8,8688316
QAN,20141118,1.81,1.822,1.8,1.81,8176460
QAN,20141119,1.8,1.87,1.795,1.83,10634668
QAN,20141120,1.8,1.855,1.785,1.79,13831498
QAN,20141121,1.8,1.8,1.745,1.77,9650327
QAN,20141124,1.765,1.767,1.74,1.745,8504823
QAN,20141125,1.735,1.76,1.725,1.745,52435333
QAN,20141126,1.755,1.83,1.755,1.83,12626790
QAN,20141127,1.83,1.835,1.785,1.795,7914890
QAN,20141128,1.85,1.96,1.837,1.92,24111813
QAN,20141201,1.96,2.135,1.96,2.01,25809037
QAN,20141202,1.965,1.99,1.892,1.95,17258851
QAN,20141203,2.01,2.08,2.01,2.07,25967774
QAN,20141204,2.06,2.07,2.04,2.06,15040565
QAN,20141205,2.07,2.115,2.05,2.1,12310450
QAN,20141208,2.24,2.44,2.23,2.39,24939296
QAN,20141209,2.45,2.57,2.355,2.38,26043613
QAN,20141210,2.42,2.46,2.305,2.39,17680773
QAN,20141211,2.39,2.45,2.33,2.44,11579908
QAN,20141212,2.46,2.47,2.4,2.4,9760998
QAN,20141215,2.36,2.37,2.22,2.27,19840633
QAN,20141216,2.3,2.39,2.29,2.35,15951563
QAN,20141217,2.3,2.35,2.27,2.31,10785113
QAN,20141218,2.3,2.33,2.245,2.25,11481028
QAN,20141219,2.32,2.33,2.29,2.32,22938027
QAN,20141222,2.32,2.365,2.3,2.35,9652471
QAN,20141223,2.35,2.4,2.35,2.39,8372359
QAN,20141224,2.36,2.37,2.325,2.34,2205918
QAN,20141229,2.35,2.41,2.32,2.41,3698996
QAN,20141230,2.41,2.41,2.37,2.41,5749960
QAN,20141231,2.41,2.42,2.375,2.4,3056141
QAN,20150102,2.4,2.42,2.385,2.42,3020851
QAN,20150105,2.42,2.5,2.41,2.5,7252224
QAN,20150106,2.5,2.64,2.48,2.61,19129469
QAN,20150107,2.64,2.64,2.54,2.56,10932943
QAN,20150108,2.58,2.58,2.5,2.54,8438915
QAN,20150109,2.54,2.54,2.49,2.5,6461270
QAN,20150112,2.48,2.49,2.42,2.43,7281501
QAN,20150113,2.44,2.45,2.42,2.45,9938811
QAN,20150114,2.45,2.46,2.41,2.44,8629279
QAN,20150115,2.41,2.42,2.33,2.36,10264448
QAN,20150116,2.31,2.33,2.28,2.31,5512330
QAN,20150119,2.3,2.3,2.2,2.25,8769973
QAN,20150120,2.23,2.28,2.22,2.27,7141798
QAN,20150121,2.31,2.34,2.29,2.34,9371684
QAN,20150122,2.35,2.37,2.29,2.33,5802872
QAN,20150123,2.36,2.37,2.28,2.34,5870511
QAN,20150127,2.34,2.39,2.3,2.38,8151361
QAN,20150128,2.44,2.49,2.42,2.48,18527450
QAN,20150129,2.5,2.58,2.49,2.57,19669669
QAN,20150130,2.59,2.63,2.52,2.61,17084772
QAN,20150202,2.56,2.575,2.5,2.51,12228042
QAN,20150203,2.44,2.445,2.34,2.41,16651729
QAN,20150204,2.39,2.39,2.33,2.38,15751960
QAN,20150205,2.44,2.52,2.42,2.5,13800475
QAN,20150206,2.48,2.5,2.43,2.49,10481078
QAN,20150209,2.47,2.51,2.42,2.49,8898812
QAN,20150210,2.46,2.6,2.44,2.59,10605553
QAN,20150211,2.62,2.65,2.58,2.61,11551960
QAN,20150212,2.62,2.64,2.54,2.56,10701061
QAN,20150213,2.56,2.69,2.55,2.67,11194482
QAN,20150216,2.64,2.66,2.59,2.64,4713579
QAN,20150217,2.64,2.645,2.6,2.63,3662921
QAN,20150218,2.66,2.7,2.66,2.69,9232060
QAN,20150219,2.7,2.725,2.68,2.7,5003436
QAN,20150220,2.72,2.76,2.71,2.71,7778902
QAN,20150223,2.73,2.77,2.725,2.76,5919777
QAN,20150224,2.76,2.77,2.72,2.72,4784749
QAN,20150225,2.76,2.81,2.745,2.81,9555206
QAN,20150226,2.93,3,2.81,2.85,26194223
QAN,20150227,2.9,2.96,2.885,2.89,19883758
QAN,20150302,2.89,2.94,2.88,2.89,7513930
QAN,20150303,2.91,2.93,2.84,2.86,15836433
QAN,20150304,2.86,2.87,2.81,2.87,13275386
QAN,20150305,2.88,2.93,2.85,2.89,11766717
QAN,20150306,2.88,2.9,2.865,2.87,4526475
QAN,20150309,2.86,2.88,2.79,2.8,7036741
QAN,20150310,2.84,2.9,2.82,2.9,7797913
QAN,20150311,2.84,2.94,2.84,2.94,6451620
QAN,20150312,2.95,3.03,2.94,3.02,12576573
QAN,20150313,3.02,3.07,3.015,3.06,9484144
QAN,20150316,3.04,3.11,3.04,3.07,7358770
QAN,20150317,3.11,3.12,3,3.02,7651535
QAN,20150318,3,3.07,3,3.05,9193881
QAN,20150319,3.02,3.06,2.995,3.02,13449967
QAN,20150320,3.06,3.08,3.035,3.08,9136053
QAN,20150323,3.08,3.11,3.03,3.04,9640497
QAN,20150324,3.01,3.02,2.95,2.99,9543332
QAN,20150325,3.02,3.05,3,3.02,6542497
QAN,20150326,2.99,3,2.89,2.91,9561885
QAN,20150327,2.9,2.95,2.87,2.95,10852003
QAN,20150330,2.95,3.02,2.89,3.01,8064010
QAN,20150331,3.05,3.12,3.035,3.12,16464419
QAN,20150401,3.11,3.19,3.08,3.19,16343463
QAN,20150402,3.17,3.3,3.16,3.26,15135211
QAN,20150407,3.26,3.295,3.2,3.24,9434674
QAN,20150408,3.24,3.24,3.18,3.2,9240275
QAN,20150409,3.24,3.34,3.23,3.31,11324025
QAN,20150410,3.32,3.37,3.305,3.34,9503974
QAN,20150413,3.34,3.4,3.3,3.33,5256395
QAN,20150414,3.34,3.45,3.34,3.44,8602222
QAN,20150415,3.45,3.49,3.38,3.4,17440714
QAN,20150416,3.39,3.4,3.23,3.32,16692810
QAN,20150417,3.26,3.325,3.25,3.31,6981294
QAN,20150420,3.28,3.3,3.21,3.26,9011444
QAN,20150421,3.28,3.35,3.275,3.31,10874960
QAN,20150422,3.31,3.365,3.31,3.36,5710470
QAN,20150423,3.36,3.36,3.29,3.34,13957360
QAN,20150424,3.3,3.41,3.28,3.39,9909848
QAN,20150427,3.4,3.41,3.36,3.38,8958504
QAN,20150428,3.37,3.37,3.29,3.3,7772096
QAN,20150429,3.32,3.33,3.23,3.24,7697205
QAN,20150430,3.17,3.39,3.12,3.39,17529376
QAN,20150501,3.37,3.4,3.31,3.4,8382624
QAN,20150504,3.39,3.425,3.36,3.39,8072548
QAN,20150505,3.4,3.41,3.32,3.35,9549705
QAN,20150506,3.32,3.36,3.27,3.3,10611210
QAN,20150507,3.21,3.27,3.2,3.22,9587220
QAN,20150508,3.25,3.425,3.25,3.4,13721359
QAN,20150511,3.42,3.48,3.31,3.32,22488477
QAN,20150512,3.42,3.65,3.41,3.56,40273360
QAN,20150513,3.6,3.61,3.51,3.58,21692125
QAN,20150514,3.56,3.79,3.54,3.68,26660387
QAN,20150515,3.77,3.77,3.58,3.6,11917812
QAN,20150518,3.6,3.69,3.55,3.56,7179968
QAN,20150519,3.61,3.61,3.51,3.53,9497201
QAN,20150520,3.56,3.63,3.505,3.6,15631050
QAN,20150521,3.55,3.66,3.53,3.55,9137755
QAN,20150522,3.48,3.5,3.42,3.45,14477210
QAN,20150525,3.47,3.54,3.46,3.49,8318614
QAN,20150526,3.51,3.53,3.485,3.53,13171713
QAN,20150527,3.54,3.58,3.49,3.5,9742450
QAN,20150528,3.53,3.55,3.45,3.45,6971535
QAN,20150529,3.46,3.55,3.46,3.52,11519050
QAN,20150601,3.46,3.52,3.43,3.52,7172432
QAN,20150602,3.55,3.55,3.35,3.4,10406196
QAN,20150603,3.36,3.39,3.28,3.3,15374868
QAN,20150604,3.28,3.36,3.19,3.2,12042350
QAN,20150605,3.2,3.26,3.175,3.26,11670884
QAN,20150609,3.24,3.33,3.21,3.24,10143721
QAN,20150610,3.21,3.24,3.155,3.23,8752415
QAN,20150611,3.24,3.29,3.19,3.22,11298660
QAN,20150612,3.19,3.24,3.19,3.22,6602140
QAN,20150615,3.2,3.27,3.2,3.23,7224914
QAN,20150616,3.24,3.28,3.21,3.22,9840639
QAN,20150617,3.25,3.25,3.21,3.23,13843074
QAN,20150618,3.18,3.205,3.11,3.14,12484536
QAN,20150619,3.16,3.215,3.15,3.18,15155687
QAN,20150622,3.19,3.23,3.18,3.19,6342659
QAN,20150623,3.2,3.21,3.17,3.21,9450353
QAN,20150624,3.2,3.26,3.18,3.25,8567872
QAN,20150625,3.25,3.26,3.21,3.24,5855068
QAN,20150626,3.24,3.25,3.12,3.12,9158799
QAN,20150629,3.04,3.07,2.99,3.02,15045165
QAN,20150630,2.99,3.17,2.98,3.16,20898136
QAN,20150701,3.12,3.295,3.12,3.26,9057333
QAN,20150702,3.3,3.33,3.23,3.27,8019941
QAN,20150703,3.21,3.24,3.13,3.2,8374275
QAN,20150706,3.14,3.21,3.12,3.18,5545598
QAN,20150707,3.28,3.45,3.25,3.43,17563523
QAN,20150708,3.38,3.4,3.3,3.35,10761182
QAN,20150709,3.31,3.405,3.26,3.4,10105146
QAN,20150710,3.43,3.46,3.325,3.33,7898601
QAN,20150713,3.32,3.52,3.32,3.45,11018624
QAN,20150714,3.55,3.59,3.48,3.54,8557244
QAN,20150715,3.56,3.58,3.485,3.53,7249121
QAN,20150716,3.53,3.59,3.51,3.58,8276115
QAN,20150717,3.58,3.64,3.56,3.63,8078495
QAN,20150720,3.66,3.67,3.59,3.64,3509050
QAN,20150721,3.64,3.68,3.63,3.65,6784828
QAN,20150722,3.65,3.68,3.63,3.65,8219818
QAN,20150723,3.68,3.76,3.65,3.75,8859120
QAN,20150724,3.74,3.74,3.62,3.69,10396767
QAN,20150727,3.65,3.77,3.64,3.77,6104552
QAN,20150728,3.7,3.78,3.7,3.75,6990242
QAN,20150729,3.78,3.86,3.77,3.8,15577056
QAN,20150730,3.8,3.85,3.71,3.74,8752084
QAN,20150731,3.78,3.79,3.72,3.75,10183095
QAN,20150803,3.75,3.78,3.69,3.71,5481774
QAN,20150804,3.74,3.86,3.71,3.85,13617940
QAN,20150805,3.85,3.875,3.795,3.83,7719318
QAN,20150806,3.86,3.89,3.82,3.84,6708181
QAN,20150807,3.85,3.85,3.77,3.77,8725378
QAN,20150810,3.79,3.89,3.78,3.87,8136696
QAN,20150811,3.87,3.87,3.71,3.76,11169790
QAN,20150812,3.8,3.825,3.71,3.75,7883373
QAN,20150813,3.73,3.77,3.65,3.66,6020961
QAN,20150814,3.68,3.75,3.67,3.72,6572679
QAN,20150817,3.72,3.77,3.72,3.76,4109639
QAN,20150818,3.8,3.865,3.76,3.79,11608494
QAN,20150819,3.79,3.8,3.7,3.76,9201549
QAN,20150820,3.9,3.9,3.52,3.53,20156764
QAN,20150821,3.6,3.6,3.37,3.45,25901817
QAN,20150824,3.33,3.39,3.245,3.3,29463014
QAN,20150825,3.22,3.52,3.21,3.49,21025664
QAN,20150826,3.46,3.6,3.39,3.59,17790482
QAN,20150827,3.66,3.68,3.52,3.53,11102207
QAN,20150828,3.55,3.55,3.33,3.39,17529636
QAN,20150831,3.35,3.36,3.27,3.36,18737342
QAN,20150901,3.3,3.505,3.29,3.47,18385718
QAN,20150902,3.42,3.53,3.365,3.5,17884681
QAN,20150903,3.53,3.55,3.42,3.43,7500826
QAN,20150904,3.47,3.54,3.41,3.47,9969275
QAN,20150907,3.5,3.56,3.47,3.53,6406159
QAN,20150908,3.55,3.595,3.505,3.53,8416730
QAN,20150909,3.59,3.62,3.51,3.54,20075397
QAN,20150910,3.51,3.59,3.51,3.54,12723735
QAN,20150911,3.53,3.55,3.51,3.54,10629653
QAN,20150914,3.58,3.63,3.56,3.6,11316881
QAN,20150915,3.62,3.67,3.57,3.57,9802236
QAN,20150916,3.6,3.69,3.53,3.65,16472879
QAN,20150917,3.74,3.75,3.67,3.67,15121694
QAN,20150918,3.67,3.69,3.625,3.63,15399010
QAN,20150921,3.59,3.66,3.57,3.66,7134436
QAN,20150922,3.69,3.695,3.66,3.68,6692158
QAN,20150923,3.68,3.75,3.65,3.69,13143837
QAN,20150924,3.72,3.8,3.7,3.78,14345195
QAN,20150925,3.8,3.83,3.68,3.69,14380038
QAN,20150928,3.68,3.79,3.67,3.79,5454078
QAN,20150929,3.74,3.75,3.68,3.71,13640608
QAN,20150930,3.76,3.795,3.7,3.72,13954776
QAN,20151001,3.75,3.83,3.73,3.82,10228710
QAN,20151002,3.8,3.87,3.79,3.82,6590199
QAN,20151005,3.86,3.92,3.85,3.89,5901899
QAN,20151006,3.93,3.95,3.84,3.86,10884333
QAN,20151007,3.83,3.83,3.71,3.72,11422672
QAN,20151008,3.75,3.76,3.58,3.6,12153739
QAN,20151009,3.6,3.65,3.58,3.63,11552755
QAN,20151012,3.58,3.62,3.555,3.58,7612651
QAN,20151013,3.62,3.76,3.62,3.73,14834344
QAN,20151014,3.76,3.82,3.72,3.8,12110182
QAN,20151015,3.82,3.88,3.755,3.87,8807144
QAN,20151016,3.9,3.95,3.88,3.91,6825676
QAN,20151019,3.9,3.905,3.86,3.88,2665476
QAN,20151020,3.91,3.99,3.9,3.94,13258820
QAN,20151021,3.92,3.95,3.88,3.9,4320200
QAN,20151022,3.92,3.955,3.845,3.86,7771214
QAN,20151023,3.91,3.95,3.84,3.86,8755521
QAN,20151026,3.87,3.93,3.87,3.9,9195047
QAN,20151109,3.74,3.78,3.71,3.71,4569708
QAN,20151110,3.7,3.705,3.59,3.66,8079379
QAN,20151111,3.65,3.72,3.63,3.65,6121038
QAN,20151112,3.63,3.68,3.61,3.67,5640591
QAN,20151113,3.62,3.63,3.55,3.61,6387121
QAN,20151116,3.55,3.6,3.46,3.55,7877919
QAN,20151117,3.59,3.76,3.59,3.76,11788957
QAN,20151118,3.8,3.89,3.77,3.86,16596721
QAN,20151119,3.91,3.91,3.78,3.85,9342830
QAN,20151120,3.85,3.865,3.7,3.8,7136401
QAN,20151123,3.8,3.84,3.75,3.79,4771601
QAN,20151124,3.76,3.76,3.69,3.69,8366964
QAN,20151125,3.66,3.66,3.615,3.63,7277468
QAN,20151126,3.66,3.7,3.61,3.63,7180584
QAN,20151127,3.69,3.78,3.68,3.78,8540427
QAN,20151130,3.79,3.8,3.64,3.64,10513440
QAN,20151201,3.66,3.7,3.65,3.69,13378043
QAN,20151202,3.69,3.75,3.65,3.72,6245708
QAN,20151203,3.71,3.76,3.69,3.74,7391390
QAN,20151204,3.67,3.71,3.64,3.67,5823854
QAN,20151207,3.74,3.76,3.67,3.68,5678333
QAN,20151208,3.69,3.88,3.68,3.86,16303410
QAN,20151209,3.86,3.88,3.79,3.86,6430876
QAN,20151210,3.88,3.88,3.805,3.86,6928996
QAN,20151211,3.84,3.9,3.78,3.83,4945077
QAN,20151214,3.81,3.85,3.74,3.78,5712271
QAN,20151215,3.9,3.94,3.665,3.69,23746031
QAN,20151216,3.73,3.865,3.71,3.8,12001025
QAN,20151217,3.94,3.96,3.87,3.9,11863808
QAN,20151218,3.87,3.96,3.85,3.91,10143203
QAN,20151221,3.91,3.95,3.86,3.87,4986696
QAN,20151222,3.94,3.96,3.88,3.9,5720163
QAN,20151223,3.95,4.03,3.93,4.02,7909484
QAN,20151224,4.03,4.04,3.98,4,2287672
QAN,20151229,4,4.08,3.98,4.08,5814649
QAN,20151230,4.1,4.14,4.07,4.14,6422946
QAN,20151231,4.15,4.16,4.09,4.09,5023309
QAN,20160104,4.11,4.14,4.05,4.09,4635512
